Id,Season,Week,Neutral_Site,Conference_Game,Attendance,Venue_Id,Home_Id,Home_Team,Home_Conference,Home_Division,Home_Points,Home_1_Q_P,Home_2_Q_P,Home_3_Q_P,Home_4_Q_P,Away_Id,Away_Team,Away_Conference,Away_Division,Away_Points,Away_1_Q_P,Away_2_Q_P,Away_3_Q_P,Away_4_Q_P
401531836,2023,1,FALSE,FALSE,17803,3608,290,Georgia Southern,Sun Belt,fbs,34,14,10,7,3,2643,The Citadel,Southern,fcs,0,0,0,0,0
401520154,2023,1,FALSE,FALSE,92746,3917,61,Georgia,SEC,fbs,48,7,10,14,17,2630,UT Martin,Big South-OVC,fcs,7,0,0,0,7
401520153,2023,1,FALSE,FALSE,16878,218,2229,Florida International,Conference USA,fbs,14,7,7,0,0,311,Maine,CAA,fcs,12,3,3,6,0
401523996,2023,1,FALSE,FALSE,62916,477,30,USC,Pac-12,fbs,66,21,14,7,24,2440,Nevada,Mountain West,fbs,14,7,0,0,7
401525819,2023,1,FALSE,FALSE,37862,4728,248,Houston,Big 12,fbs,17,7,3,7,0,2636,UT San Antonio,American Athletic,fbs,14,7,0,0,7
401531840,2023,1,FALSE,FALSE,30335,3815,2572,Southern Mississippi,Sun Belt,fbs,40,17,10,10,3,2016,Alcorn State,SWAC,fcs,14,7,0,0,7
401525823,2023,1,FALSE,FALSE,53855,3646,197,Oklahoma State,Big 12,fbs,27,7,6,0,14,2110,Central Arkansas,UAC,fcs,13,0,0,7,6
401525817,2023,1,FALSE,FALSE,44945,4727,239,Baylor,Big 12,fbs,31,6,7,11,7,326,Texas State,Sun Belt,fbs,42,14,14,7,7
401523990,2023,1,FALSE,FALSE,31497,5388,36,Colorado State,Mountain West,fbs,24,3,0,0,21,265,Washington State,Pac-12,fbs,50,7,10,12,21
401520173,2023,1,FALSE,FALSE,97560,3795,245,Texas A&M,SEC,fbs,52,7,28,7,10,167,New Mexico,Mountain West,fbs,10,0,7,3,0
401520175,2023,1,FALSE,FALSE,18914,3817,2433,Louisiana Monroe,Sun Belt,fbs,17,0,3,0,14,349,Army,FBS Independents,fbs,13,0,10,0,3
401531426,2023,1,FALSE,FALSE,26632,3805,235,Memphis,American Athletic,fbs,56,10,18,21,7,2065,Bethune-Cookman,SWAC,fcs,14,7,0,0,7
401520178,2023,1,FALSE,FALSE,22035,3973,238,Vanderbilt,SEC,fbs,47,5,7,14,21,2010,Alabama A&M,SWAC,fcs,13,3,0,7,3
401525821,2023,1,FALSE,FALSE,52066,3636,2306,Kansas State,Big 12,fbs,45,7,28,3,7,2546,Southeast Missouri State,Big South-OVC,fcs,0,0,0,0,0
401531841,2023,1,FALSE,FALSE,28179,3975,2653,Troy,Sun Belt,fbs,48,21,10,10,7,2617,Stephen F. Austin,UAC,fcs,30,3,17,0,10
401531839,2023,1,FALSE,FALSE,18186,3666,309,Louisiana,Sun Belt,fbs,38,7,14,7,10,2466,Northwestern State,Southland,fcs,13,3,3,0,7
401525825,2023,1,FALSE,FALSE,26450,3984,2751,Wyoming,Mountain West,fbs,35,0,10,7,3,2641,Texas Tech,Big 12,fbs,33,17,0,0,3
401520155,2023,1,FALSE,FALSE,48898,3832,356,Illinois,Big Ten,fbs,30,7,0,13,10,2649,Toledo,Mid-American,fbs,28,3,9,7,9
401520169,2023,1,FALSE,FALSE,110747,3632,213,Penn State,Big Ten,fbs,38,7,7,7,17,277,West Virginia,Big 12,fbs,15,0,7,0,8
401520167,2023,1,TRUE,FALSE,68723,3628,153,North Carolina,ACC,fbs,31,7,10,14,0,2579,South Carolina,SEC,fbs,17,7,7,0,3
401520149,2023,1,FALSE,FALSE,100077,3657,333,Alabama,SEC,fbs,56,14,14,14,14,2393,Middle Tennessee,Conference USA,fbs,7,0,0,7,0
401531347,2023,1,FALSE,FALSE,26973,4729,2655,Tulane,American Athletic,fbs,37,10,14,7,6,6,South Alabama,Sun Belt,fbs,17,0,10,7,0
401525467,2023,1,FALSE,FALSE,65632,3799,259,Virginia Tech,ACC,fbs,36,2,14,14,6,295,Old Dominion,Sun Belt,fbs,17,0,10,7,0
401520177,2023,1,FALSE,FALSE,30738,3946,2638,UTEP,Conference USA,fbs,28,7,7,7,7,2916,Incarnate Word,Southland,fcs,14,7,7,0,0
401520166,2023,1,FALSE,FALSE,17943,3601,166,New Mexico State,Conference USA,fbs,58,6,14,17,21,2710,Western Illinois,MVFC,fcs,21,0,14,7,0
401523989,2023,1,FALSE,FALSE,48159,3619,12,Arizona,Pac-12,fbs,38,7,7,21,3,2464,Northern Arizona,Big Sky,fcs,3,0,3,0,0
401520152,2023,1,FALSE,FALSE,59006,3801,252,BYU,Big 12,fbs,14,7,0,0,7,2534,Sam Houston State,Conference USA,fbs,0,0,0,0,0
401532571,2023,1,FALSE,FALSE,22345,7311,21,San Diego State,Mountain West,fbs,36,10,10,9,7,304,Idaho State,Big Sky,fcs,28,3,10,0,15
401523995,2023,1,FALSE,FALSE,43705,1056,26,UCLA,Pac-12,fbs,27,7,7,0,13,324,Coastal Carolina,Sun Belt,fbs,13,0,6,7,0
401520171,2023,1,FALSE,TRUE,53026,6577,164,Rutgers,Big Ten,fbs,24,7,10,7,0,77,Northwestern,Big Ten,fbs,7,0,0,0,7
401532573,2023,1,FALSE,FALSE,20337,3935,23,San José State,Mountain West,fbs,17,0,3,0,14,204,Oregon State,Pac-12,fbs,42,7,14,7,14
401520182,2023,1,TRUE,FALSE,65429,4013,52,Florida State,ACC,fbs,45,7,7,10,21,99,LSU,SEC,fbs,24,7,10,0,7
401525468,2023,1,FALSE,TRUE,31638,3982,150,Duke,ACC,fbs,28,3,3,7,15,228,Clemson,ACC,fbs,7,0,7,0,0
401525469,2023,2,FALSE,FALSE,45273,3873,97,Louisville,ACC,fbs,56,7,21,14,14,93,Murray State,MVFC,fcs,0,0,0,0,0
401520193,2023,2,FALSE,FALSE,42775,3830,84,Indiana,Big Ten,fbs,41,21,3,7,10,282,Indiana State,MVFC,fcs,7,0,7,0,0
401520195,2023,2,FALSE,FALSE,45809,3833,2305,Kansas,Big 12,fbs,34,14,14,6,0,356,Illinois,Big Ten,fbs,23,0,7,8,8
401520216,2023,2,FALSE,FALSE,28363,3630,154,Wake Forest,ACC,fbs,36,3,21,3,9,238,Vanderbilt,SEC,fbs,20,0,14,0,6
401520191,2023,2,FALSE,FALSE,92746,3917,61,Georgia,SEC,fbs,45,0,31,14,0,2050,Ball State,Mid-American,fbs,3,0,0,0,3
401520185,2023,2,FALSE,FALSE,,3841,349,Army,FBS Independents,fbs,57,15,21,7,14,2169,Delaware State,MEAC,fcs,0,0,0,0,0
401520208,2023,2,FALSE,FALSE,102897,3861,194,Ohio State,Big Ten,fbs,35,14,14,7,0,2754,Youngstown State,MVFC,fcs,7,7,0,0,0
401520209,2023,2,FALSE,FALSE,108575,3632,213,Penn State,Big Ten,fbs,63,14,21,21,7,48,Delaware,CAA,fcs,7,7,0,0,0
